"","numer_sta","date","pmer","tend","cod_tend","dd","ff","t","td","u","vv","ww","w1","w2","n","nbas","hbas","cl","cm","ch","pres","niv_bar","geop","tend24","tn12","tn24","tx12","tx24","tminsol","sw","tw","raf10","rafper","per","etat_sol","ht_neige","ssfrai","perssfrai","rr1","rr3","rr6","rr12","rr24","phenspe1","phenspe2","phenspe3","phenspe4","nnuage1","ctype1","hnuage1","nnuage2","ctype2","hnuage2","nnuage3","ctype3","hnuage3","nnuage4","ctype4","hnuage4","X"
"11",7149,2.0160701e+13,"101540","-20","6","210","3.800000","290.550000","288.150000","86","30000","1","1","1","25","2","1250","35","20","10","100480","mq","mq","180","mq","mq","mq","mq","mq","mq","mq","5.800000","7.200000","-10","1","0.000000","0.000000","-60","0.000000","0.000000","0.000000","5.300000","5.300000","mq","mq","mq","mq","2","6","1170","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"67",7149,20160701030000,"101540","0","0","220","4.100000","290.350000","287.450000","83","30000","3","2","2","90","7","800","35","mq","mq","100480","mq","mq","210","mq","mq","mq","mq","mq","mq","mq","6.400000","8.100000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","4.700000","5.300000","mq","mq","mq","mq","7","6","600","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"119",7149,20160701060000,"101600","60","1","220","3.100000","289.850000","286.950000","83","41700","2","2","2","100","7","800","35","mq","mq","100540","mq","mq","210","289.550000","mq","294.850000","mq","mq","mq","mq","4.700000","5.900000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","5.300000","mq","mq","mq","mq","7","6","840","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"175",7149,20160701090000,"101570","-20","7","220","4.900000","292.350000","287.850000","75","35320","1","2","2","100","7","800","35","mq","mq","100520","mq","mq","150","mq","mq","mq","mq","mq","mq","mq","7.600000","10.100000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","5.300000","mq","mq","mq","mq","5","6","810","5","6","1260","mq","mq","mq","mq","mq","mq",NA
"232",7149,20160701120000,"101500","-70","8","210","4.900000","293.050000","288.450000","75","19860","0","2","2","100","8","250","mq","mq","mq","100450","mq","mq","20","mq","mq","mq","mq","mq","mq","mq","7.500000","8.300000","-10","mq","mq","mq","mq","0.000000","0.000000","0.000000","0.000000","5.300000","mq","mq","mq","mq","1","mq","210","3","mq","780","5","mq","960","mq","mq","mq",NA
"289",7149,20160701150000,"101420","-80","8","220","6.000000","294.350000","288.650000","70","30000","2","2","2","90","7","800","38","mq","mq","100370","mq","mq","0","mq","mq","mq","mq","mq","mq","mq","9.900000","10.000000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","4.700000","mq","mq","mq","mq","2","8","870","7","6","1900","mq","mq","mq","mq","mq","mq",NA
"346",7149,20160701180000,"101310","-100","6","240","7.200000","294.350000","288.450000","69","30000","3","1","1","75","4","800","35","23","10","100270","mq","mq","-110","289.850000","mq","295.650000","mq","mq","mq","mq","11.100000","11.100000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","4","6","930","3","3","2200","mq","mq","mq","mq","mq","mq",NA
"402",7149,20160701210000,"101440","110","3","260","6.400000","291.750000","287.250000","75","57860","3","2","2","90","7","800","38","mq","mq","100380","mq","mq","-120","mq","mq","mq","mq","mq","mq","mq","9.300000","11.000000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","8","720","3","6","900","7","6","1230","mq","mq","mq",NA
"457",7149,2.0160702e+13,"101600","140","1","270","3.000000","286.450000","284.550000","88","20000","21","6","5","100","8","800","35","mq","mq","100520","mq","mq","40","mq","mq","mq","mq","mq","mq","mq","5.000000","5.000000","-10","2","0.000000","0.000000","-60","0.200000","0.200000","0.200000","0.200000","0.200000","mq","mq","mq","mq","5","6","960","7","6","1290","mq","mq","mq","mq","mq","mq",NA
"514",7149,20160702030000,"101630","30","3","230","2.200000","286.350000","283.750000","84","60000","1","2","2","100","7","1750","35","mq","mq","100550","mq","mq","70","mq","mq","mq","mq","mq","mq","mq","3.200000","3.600000","-10","2","0.000000","0.000000","-30","0.000000","0.000000","0.200000","0.200000","0.200000","mq","mq","mq","mq","7","6","1720","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"571",7149,20160702060000,"101730","100","3","260","4.100000","286.950000","284.250000","84","20000","2","1","1","90","7","450","38","61","60","100650","mq","mq","mq","285.850000","mq","294.250000","mq","285.150000","mq","mq","mq","6.200000","-10","0","0.000000","mq","mq","mq","0.000000","mq","0.200000","0.200000","mq","mq","mq","mq","1","8","540","7","6","2100","mq","mq","mq","mq","mq","mq",NA
"627",7149,20160702090000,"101820","110","1","260","5.800000","290.950000","281.750000","55","30000","3","2","2","75","6","1250","38","20","10","100760","mq","mq","240","mq","mq","mq","mq","mq","mq","mq","8.600000","9.700000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.200000","0.200000","mq","mq","mq","mq","5","8","1100","3","6","1700","mq","mq","mq","mq","mq","mq",NA
"684",7149,20160702120000,"101880","60","1","270","4.800000","292.550000","283.250000","55","31940","1","2","2","90","7","1250","38","mq","mq","100820","mq","mq","370","mq","mq","mq","mq","mq","mq","mq","7.700000","10.700000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.200000","mq","mq","mq","mq","4","8","1300","6","6","2080","mq","mq","mq","mq","mq","mq",NA
"741",7149,20160702150000,"101970","90","3","310","5.000000","291.050000","283.150000","60","49430","25","8","6","75","6","1250","38","20","10","100910","mq","mq","540","mq","mq","mq","mq","mq","mq","mq","8.700000","11.300000","-10","0","0.000000","0.000000","-30","-0.100000","-0.100000","-0.100000","-0.100000","0.200000","mq","mq","mq","mq","4","8","1160","6","6","2100","mq","mq","mq","mq","mq","mq",NA
"798",7149,20160702180000,"102000","30","3","320","5.000000","291.750000","283.550000","59","35000","1","2","2","75","4","1250","39","23","10","100940","mq","mq","670","286.950000","mq","293.950000","mq","mq","mq","mq","7.400000","9.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","-0.100000","-0.100000","0.200000","mq","mq","mq","mq","2","8","1430","2","6","2200","5","3","2760","1","9","1450",NA
"853",7149,20160702210000,"102100","90","3","220","2.100000","289.050000","283.350000","69","35000","1","2","2","90","1","1750","35","23","10","101030","mq","mq","650","mq","mq","mq","mq","mq","mq","mq","3.500000","3.600000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","-0.100000","0.200000","mq","mq","mq","mq","1","6","1840","7","3","2800","mq","mq","mq","mq","mq","mq",NA
"910",7149,2.0160703e+13,"102130","20","3","290","1.800000","287.550000","283.550000","77","35000","3","2","2","90","2","1750","35","23","10","101050","mq","mq","530","mq","mq","mq","mq","mq","mq","mq","2.600000","2.600000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","-0.100000","-0.100000","mq","mq","mq","mq","2","6","1920","7","3","2720","mq","mq","mq","mq","mq","mq",NA
"968",7149,20160703030000,"102110","-20","6","250","2.200000","286.750000","282.350000","75","60000","1","2","2","90","6","1250","35","23","mq","101030","mq","mq","480","mq","mq","mq","mq","mq","mq","mq","2.800000","3.800000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","-0.100000","mq","mq","mq","mq","2","6","1210","5","6","1420","6","3","2900","mq","mq","mq",NA
"1026",7149,20160703060000,"102170","60","3","310","1.300000","287.150000","283.150000","77","34870","21","6","2","90","7","1250","35","mq","mq","101090","mq","mq","440","285.950000","mq","291.850000","mq","mq","mq","mq","2.300000","3.300000","-10","0","0.000000","0.000000","-60","-0.100000","-0.100000","-0.100000","-0.100000","-0.100000","mq","mq","mq","mq","6","6","1450","7","6","1900","mq","mq","mq","mq","mq","mq",NA
"1080",7149,20160703090000,"102210","50","3","230","2.700000","290.150000","283.250000","64","50000","1","2","2","90","7","1250","38","mq","mq","101140","mq","mq","380","mq","mq","mq","mq","mq","mq","mq","5.200000","5.200000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","-0.100000","-0.100000","-0.100000","mq","mq","mq","mq","1","8","1120","1","6","1570","7","6","2010","mq","mq","mq",NA
"1138",7149,20160703120000,"102190","-20","7","230","4.800000","291.150000","283.250000","60","40000","3","2","2","90","7","800","38","mq","mq","101120","mq","mq","300","mq","mq","mq","mq","mq","mq","mq","7.200000","8.900000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","-0.100000","-0.100000","mq","mq","mq","mq","2","8","900","1","6","1020","7","6","1340","mq","mq","mq",NA
"1194",7149,20160703150000,"102200","10","3","200","3.500000","289.150000","285.650000","80","20000","51","6","5","90","7","450","38","mq","mq","101130","mq","mq","220","mq","mq","mq","mq","mq","mq","mq","5.900000","6.500000","-10","2","0.000000","0.000000","-30","-0.100000","-0.100000","-0.100000","-0.100000","-0.100000","mq","mq","mq","mq","4","6","520","7","6","900","mq","mq","mq","mq","mq","mq",NA
"1252",7149,20160703180000,"102120","-80","7","190","2.800000","288.850000","288.250000","96","6000","51","6","5","100","8","150","37","mq","mq","101050","mq","mq","110","287.150000","mq","291.350000","mq","mq","mq","mq","4.700000","6.300000","-10","2","0.000000","0.000000","-60","0.200000","0.200000","0.200000","0.200000","0.200000","mq","mq","mq","mq","8","7","180","8","6","800","mq","mq","mq","mq","mq","mq",NA
"1308",7149,20160703210000,"102100","-20","5","180","2.400000","289.350000","288.250000","93","15000","2","2","2","100","8","450","35","mq","mq","101030","mq","mq","0","mq","mq","mq","mq","mq","mq","mq","3.900000","4.000000","-10","2","0.000000","0.000000","-30","-0.100000","0.200000","0.400000","0.400000","0.400000","mq","mq","mq","mq","6","6","360","8","6","660","mq","mq","mq","mq","mq","mq",NA
"1366",7149,2.0160704e+13,"102080","-20","7","240","1.700000","289.450000","288.950000","97","12580","2","2","2","100","8","150","35","mq","mq","101010","mq","mq","-40","mq","mq","mq","mq","mq","mq","mq","2.600000","3.200000","-10","2","0.000000","0.000000","-60","0.000000","0.400000","0.600000","0.800000","0.800000","mq","mq","mq","mq","2","7","180","7","6","1320","mq","mq","mq","mq","mq","mq",NA
"1423",7149,20160704030000,"102050","-30","7","250","1.800000","288.550000","288.050000","97","20000","1","2","2","75","6","1250","35","20","10","100980","mq","mq","-50","mq","mq","mq","mq","mq","mq","mq","2.600000","3.100000","-10","1","0.000000","0.000000","-30","0.000000","0.000000","0.400000","0.800000","0.800000","mq","mq","mq","mq","6","6","1230","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1480",7149,20160704060000,"102090","40","3","290","3.500000","288.450000","287.350000","93","18450","3","2","2","90","7","250","38","mq","mq","101020","mq","mq","-70","288.150000","mq","289.450000","mq","mq","mq","mq","5.100000","5.500000","-10","1","0.000000","0.000000","-60","0.000000","-0.100000","-0.100000","0.600000","0.800000","mq","mq","mq","mq","2","8","270","5","6","500","6","6","1200","mq","mq","mq",NA
"1537",7149,20160704090000,"102190","100","2","320","2.600000","290.350000","286.850000","80","27360","1","2","2","100","7","450","38","mq","mq","101120","mq","mq","-20","mq","mq","mq","mq","mq","mq","mq","4.500000","4.800000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","-0.100000","0.400000","0.800000","mq","mq","mq","mq","7","6","390","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1596",7149,20160704120000,"102120","-60","8","240","4.600000","293.650000","286.350000","63","21880","1","1","1","75","6","800","35","20","10","101060","mq","mq","-60","mq","mq","mq","mq","mq","mq","mq","7.800000","7.800000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","-0.100000","0.800000","mq","mq","mq","mq","6","6","960","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1652",7149,20160704150000,"102000","-110","6","300","2.800000","294.650000","286.850000","61","39900","2","2","2","90","7","1250","35","mq","mq","100950","mq","mq","-180","mq","mq","mq","mq","mq","mq","mq","4.500000","6.000000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","-0.100000","0.800000","mq","mq","mq","mq","7","6","1200","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1709",7149,20160704180000,"101910","-90","7","240","2.200000","294.350000","286.550000","61","25000","1","1","1","50","4","1250","38","20","10","100860","mq","mq","-190","288.150000","mq","296.150000","mq","mq","mq","mq","4.300000","4.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.600000","mq","mq","mq","mq","1","8","1080","3","6","1500","mq","mq","mq","mq","mq","mq",NA
"1766",7149,20160704210000,"101940","10","3","200","1.700000","290.150000","286.850000","81","20000","2","2","2","60","5","1750","35","20","10","100870","mq","mq","-160","mq","mq","mq","mq","mq","mq","mq","2.300000","2.600000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.400000","mq","mq","mq","mq","5","6","1620","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1823",7149,2.0160705e+13,"101930","-10","8","230","3.100000","289.050000","286.750000","86","20000","2","2","2","60","5","1750","35","20","10","100860","mq","mq","-150","mq","mq","mq","mq","mq","mq","mq","5.200000","5.900000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","-0.100000","mq","mq","mq","mq","5","6","1710","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1880",7149,20160705030000,"101840","-90","7","280","1.200000","287.950000","286.350000","90","23580","0","2","2","mq","2","1750","mq","mq","mq","100770","mq","mq","-210","mq","mq","mq","mq","mq","mq","mq","2.000000","4.600000","-10","0","0.000000","mq","mq","0.000000","0.000000","0.000000","0.000000","-0.100000","mq","mq","mq","mq","2","mq","1680","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1938",7149,20160705060000,"101880","40","3","260","2.500000","289.650000","287.650000","88","20000","3","2","2","90","7","1750","35","mq","mq","100810","mq","mq","-210","287.250000","mq","294.250000","mq","mq","mq","mq","3.800000","3.800000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","7","6","1510","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"1995",7149,20160705090000,"101990","120","1","290","5.000000","291.850000","287.150000","74","46820","1","2","2","90","7","800","35","mq","mq","100930","mq","mq","-190","mq","mq","mq","mq","mq","mq","mq","7.600000","8.400000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","7","6","730","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2050",7149,20160705120000,"101990","10","2","280","5.000000","294.050000","287.950000","68","35000","3","2","2","90","7","800","38","mq","mq","100940","mq","mq","-120","mq","mq","mq","mq","mq","mq","mq","7.200000","8.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","5","8","810","6","6","1240","mq","mq","mq","mq","mq","mq",NA
"2108",7149,20160705150000,"101980","-10","6","290","5.200000","295.150000","288.050000","64","35000","3","2","2","90","7","800","38","mq","mq","100930","mq","mq","-20","mq","mq","mq","mq","mq","mq","mq","8.300000","8.300000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","4","8","990","3","6","1600","5","6","2000","mq","mq","mq",NA
"2166",7149,20160705180000,"102040","50","3","330","4.700000","293.850000","284.450000","55","31260","1","2","2","75","6","1750","35","20","10","100980","mq","mq","120","289.650000","mq","295.850000","mq","mq","mq","mq","6.200000","8.100000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","6","6","1500","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2222",7149,20160705210000,"102160","110","1","330","2.500000","290.150000","284.150000","68","33260","1","0","0","25","0","8000","30","20","11","101090","mq","mq","220","mq","mq","mq","mq","mq","mq","mq","3.800000","4.900000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2279",7149,2.0160706e+13,"102240","60","3","290","2.200000","285.950000","282.550000","80","35000","2","0","0","0","0","mq","30","20","10","101150","mq","mq","290","mq","mq","mq","mq","mq","mq","mq","2.800000","3.500000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2336",7149,20160706030000,"102240","-10","8","270","1.800000","282.450000","281.550000","94","35000","3","0","0","25","0","8000","30","20","11","101140","mq","mq","370","mq","mq","mq","mq","mq","mq","mq","2.000000","2.100000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2393",7149,20160706060000,"102300","70","3","240","1.700000","286.350000","284.550000","89","35000","1","1","1","60","1","1250","35","20","11","101210","mq","mq","400","282.250000","mq","293.850000","mq","mq","mq","mq","2.200000","2.500000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","6","1200","5","0","7800","mq","mq","mq","mq","mq","mq",NA
"2450",7149,20160706090000,"102330","60","2","290","1.900000","292.050000","284.350000","61","35000","3","2","2","90","3","800","31","20","11","101270","mq","mq","340","mq","mq","mq","mq","mq","mq","mq","5.900000","5.900000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","3","8","950","7","0","7200","mq","mq","mq","mq","mq","mq",NA
"2507",7149,20160706120000,"102300","-30","7","50","1.700000","294.650000","283.750000","50","35000","1","2","2","75","5","1250","34","20","11","101240","mq","mq","300","mq","mq","mq","mq","mq","mq","mq","3.800000","4.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","5","6","1360","4","0","8000","mq","mq","mq","mq","mq","mq",NA
"2564",7149,20160706150000,"102170","-120","8","90","0.900000","296.950000","284.950000","47","19950","1","0","0","40","2","1750","35","20","11","101120","mq","mq","190","mq","mq","mq","mq","mq","mq","mq","2.200000","4.800000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","6","1670","2","0","8000","mq","mq","mq","mq","mq","mq",NA
"2622",7149,20160706180000,"102140","-30","5","280","2.200000","296.650000","282.950000","42","35000","2","0","0","40","2","1750","35","20","11","101090","mq","mq","110","286.350000","mq","298.150000","mq","mq","mq","mq","4.100000","4.600000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","6","1900","2","0","8000","mq","mq","mq","mq","mq","mq",NA
"2678",7149,20160706210000,"102240","80","3","0","0.000000","291.050000","283.450000","61","35000","2","0","0","25","1","1750","35","20","11","101170","mq","mq","80","mq","mq","mq","mq","mq","mq","mq","0.500000","2.600000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","6","1730","2","0","8000","mq","mq","mq","mq","mq","mq",NA
"2734",7149,2.0160707e+13,"102220","-30","8","10","2.200000","287.850000","284.450000","80","35000","2","0","0","0","0","mq","30","20","10","101140","mq","mq","-10","mq","mq","mq","mq","mq","mq","mq","3.300000","3.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2789",7149,20160707030000,"102180","-50","5","0","0.000000","285.450000","283.550000","88","35000","2","0","0","0","0","mq","30","20","10","101090","mq","mq","-50","mq","mq","mq","mq","mq","mq","mq","0.000000","1.000000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2845",7149,20160707060000,"102200","40","2","140","0.700000","289.850000","285.950000","78","25000","2","0","0","0","0","mq","30","20","10","101130","mq","mq","-80","284.050000","mq","296.650000","mq","mq","mq","mq","1.200000","1.200000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2902",7149,20160707090000,"102180","0","4","150","2.400000","295.750000","286.250000","55","35000","2","0","0","10","0","8000","30","20","11","101130","mq","mq","-140","mq","mq","mq","mq","mq","mq","mq","4.200000","4.800000","-10","0","0.000000","0.000000","-30","0.000000","0.200000","0.200000","0.200000","0.200000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"2959",7149,20160707120000,"102010","-160","8","30","1.500000","298.650000","285.450000","44","35000","1","0","0","10","0","8000","30","20","11","100970","mq","mq","-270","mq","mq","mq","mq","mq","mq","mq","3.100000","5.500000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.200000","0.200000","0.200000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3016",7149,20160707120000,"102010","-160","8","30","1.500000","298.650000","285.450000","44","35000","1","0","0","10","0","8000","30","20","11","100970","mq","mq","-270","mq","mq","mq","mq","mq","mq","mq","3.100000","5.500000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.200000","0.200000","0.200000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3075",7149,20160707150000,"101880","-120","8","270","1.800000","300.450000","286.450000","42","35000","2","0","0","10","0","8000","30","20","11","100850","mq","mq","-270","mq","mq","mq","mq","mq","mq","mq","4.500000","5.900000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.200000","0.200000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3132",7149,20160707180000,"101770","-110","6","200","2.000000","301.450000","284.950000","36","35000","3","0","0","40","0","8000","30","20","11","100740","mq","mq","-350","289.750000","mq","301.950000","mq","mq","mq","mq","3.900000","4.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.200000","0.200000","mq","mq","mq","mq","3","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3188",7149,20160707210000,"101780","-10","6","210","1.400000","293.450000","286.450000","64","35000","2","0","0","10","0","8000","30","20","11","100730","mq","mq","-440","mq","mq","mq","mq","mq","mq","mq","2.700000","2.700000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.200000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3245",7149,2.0160708e+13,"101830","40","1","330","3.700000","291.850000","287.950000","78","35000","2","0","0","25","0","8000","30","20","11","100770","mq","mq","-370","mq","mq","mq","mq","mq","mq","mq","4.800000","4.800000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.200000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3301",7149,20160708030000,"101750","-90","8","30","0.800000","288.250000","285.350000","83","35000","1","0","0","10","0","7800","30","20","12","100680","mq","mq","-410","mq","mq","mq","mq","mq","mq","mq","1.100000","1.200000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.200000","mq","mq","mq","mq","1","0","7800","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3357",7149,20160708060000,"101750","10","3","200","1.600000","291.050000","287.350000","79","13980","3","0","0","50","0","8000","30","20","11","100690","mq","mq","-440","286.850000","mq","301.450000","mq","mq","mq","mq","2.300000","2.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.200000","mq","mq","mq","mq","4","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3414",7149,20160708090000,"101680","-40","6","200","3.400000","298.950000","288.650000","53","8310","3","2","2","75","2","3700","30","23","11","100650","mq","mq","-480","mq","mq","mq","mq","mq","mq","mq","6.600000","6.600000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","3","3700","6","0","8000","mq","mq","mq","mq","mq","mq",NA
"3471",7149,20160708120000,"101720","50","1","260","6.900000","302.150000","287.950000","42","30000","2","0","0","50","1","1750","31","23","11","100700","mq","mq","-270","mq","mq","mq","mq","mq","mq","mq","10.800000","10.800000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","8","1800","1","3","3800","3","0","8000","mq","mq","mq",NA
"3528",7149,20160708150000,"101790","60","3","330","6.400000","301.350000","287.950000","44","14830","1","1","1","50","1","1250","31","23","11","100760","mq","mq","-90","mq","mq","mq","mq","mq","mq","mq","9.000000","9.900000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","8","1400","1","3","3000","3","0","8000","mq","mq","mq",NA
"3586",7149,20160708180000,"101980","180","1","330","4.000000","298.050000","285.250000","45","23410","2","0","0","25","0","8000","30","20","11","100940","mq","mq","200","291.050000","mq","302.950000","mq","mq","mq","mq","5.500000","9.500000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3644",7149,20160708210000,"102150","160","3","310","4.200000","294.150000","287.550000","66","59030","1","0","0","10","0","8000","30","20","11","101100","mq","mq","370","mq","mq","mq","mq","mq","mq","mq","7.700000","7.700000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3701",7149,2.0160709e+13,"102240","70","1","300","1.500000","288.850000","286.850000","88","51520","2","0","0","0","0","mq","30","20","10","101170","mq","mq","400","mq","mq","mq","mq","mq","mq","mq","2.100000","4.000000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"3758",7149,20160709030000,"102210","-30","5","310","2.800000","289.950000","287.750000","87","30000","3","0","0","40","3","450","35","23","10","101140","mq","mq","460","mq","mq","mq","mq","mq","mq","mq","4.600000","4.800000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","3","6","480","1","3","3000","mq","mq","mq","mq","mq","mq",NA
"3814",7149,20160709060000,"102280","70","1","260","2.700000","291.250000","288.650000","85","30460","3","0","0","40","2","450","35","23","11","101210","mq","mq","520","287.850000","mq","298.050000","mq","mq","mq","mq","4.000000","4.000000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","8","350","1","3","3000","1","0","8000","mq","mq","mq",NA
"3871",7149,20160709090000,"102250","-10","8","250","1.600000","295.750000","288.050000","62","30000","1","0","0","10","1","800","31","20","11","101200","mq","mq","550","mq","mq","mq","mq","mq","mq","mq","3.100000","3.800000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","8","800","1","0","7500","mq","mq","mq","mq","mq","mq",NA
